,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,problem_of_product
73308,1.0,Terrible,"Horrible mounting, ridiculously noisy and not at all suitable for general living spaces.","[{'small_image_url': 'https://m.media-amazon.com/images/I/713mxni2TtL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/713mxni2TtL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/713mxni2TtL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/714OKSdP3hL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/714OKSdP3hL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/714OKSdP3hL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B078JZR23H,B078JZR23H,AEGSZLESLC6V5ZXANVA7RGN3KSIA,1644333430401,0,True,Poor performance
18363,2.0,Not impressed.,"Cheap product for being $30+ dollars. Had to insert it at a 90° angle and the attachment pieces that lock in place kept becoming detached upon use. I taped the joints which helped, and the product did work, but I don't think the value for the cost is there.","[{'small_image_url': 'https://m.media-amazon.com/images/I/617YqCiTk-L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/617YqCiTk-L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/617YqCiTk-L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61UixOAZcEL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61UixOAZcEL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61UixOAZcEL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08LNZ44MY,B0BDPKF9VY,AHCM5SFRFPCS7NLPHFULCFHHRTVA,1670866592115,0,False,Broken/Defective
26751,1.0,Parts missing,"It didn't come with the 93"" belt and the idle pulley","[{'small_image_url': 'https://m.media-amazon.com/images/I/61M3huXdvlL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61M3huXdvlL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61M3huXdvlL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81ZdTkgyHxL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81ZdTkgyHxL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81ZdTkgyHxL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08M3L36Z7,B08M3L36Z7,AGVYRYYFURLZTARU6E6ZS56Z7NXQ,1675366779939,0,True,Not as described
30656,2.0,Poor packing and damaged edge,The fact it was to lay flat and it doesnt and it had been up for a day already.  I could very easily trim the damaged edge but not for the amount I paid.  Would have been lovely had it been packaged securely. Returning,"[{'small_image_url': 'https://m.media-amazon.com/images/I/712seFNWSXL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/712seFNWSXL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/712seFNWSXL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B091FC63BD,B091FFY2LN,AGIJMFBHVQFPKKEPLU4Y5UBRD2LQ,1654197064147,0,True,Not as described
72666,2.0,It’s like they didn’t even look at it before selling it…,Quickly shipped and average price however it contain an obvious defect in the trim (see photo). This is literally the only thing to look at in quality inspection. No idea how they missed it. Disappointed that for 60 bucks they could t even align a sticker…,"[{'small_image_url': 'https://m.media-amazon.com/images/I/61j0P8XxczL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61j0P8XxczL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61j0P8XxczL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09LGXBVW5,B0BCP19C2H,AHMXZO5AAVBUO6AOW7UVJS6EHLOA,1646696144412,0,True,Broken/Defective
9947,2.0,Decal smudged,"The decal on it is smudged...not worth the hassle of trying to return so I'll probably print something to go over the decal. A little disappointed in the quality, wouldn't buy again.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61BWv1CmZZL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61BWv1CmZZL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61BWv1CmZZL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09DVDPB4L,B09TKQ1L7K,AHWAYN2LIJ7VFQBU5JAN6DNOJMZQ,1677024868370,0,True,Quality issues
63889,1.0,Beware if Buying for the Keurig K45,"I am pretty disappointed in this product.  I bought to use with my Keurig K45 and unfortunately the slits cut into the bottom were not long enough, or properly placed, to allow clearance for the puncture device in the K-cup holder.  To make things even worse, the SterlingTek reusable K-Cup slightly bent the post of the puncture device, and I can no longer use my regular K-Cups.  Fortunately, they do make replacement parts, but now I am out the cost of the SterlingTek Reusable K-Cups and a replacement K-Cup holder.  I have attached a picture where you can see the properly positioned, yet not flush, SterlingTek Reusable K-Cup.  I was excited about this product; however, I am very disappointed in its performance.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71okpaWlpCL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71okpaWlpCL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71okpaWlpCL.jpg', 'attachment_type': 'IMAGE'}]",B00L03WH7A,B00L03WH7A,AFA4AV3OY7ZBTRQTON5ZHB5YSOBA,1424532593000,33,True,Poor performance
74326,1.0,Worst product ever bought,Within a year machine broke down and gave damage of $6000. not only our floor but I had to pay for the downstairs people's ceiling repairs. Sharing a small portion of damage here in the pictures.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/21lFIy2ppAL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/21lFIy2ppAL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/21lFIy2ppAL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31QJvfRLgrL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31QJvfRLgrL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31QJvfRLgrL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31l9MxYHCpL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31l9MxYHCpL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/31l9MxYHCpL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51pZRYoatvL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51pZRYoatvL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51pZRYoatvL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/615RYnB6ZvL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/615RYnB6ZvL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/615RYnB6ZvL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rQ6BXkt1L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rQ6BXkt1L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rQ6BXkt1L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7161ybIoEfL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7161ybIoEfL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7161ybIoEfL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B078MGY2CS,B078MGY2CS,AEOOVB6GWNWRYAA267URDHDACDJQ,1624390700326,4,True,Broken/Defective
15147,1.0,This is not fit with my LG refrigerator,"Hi,<br /><br />actually, this order was my 3rd one, which means that I just clicked to order this product to prepare for future uses from my Amazon order history to avoid being confused and making a mistake, but today I realized that this is not fit with my LG one,<br />It says that LT1000P is compatible, but actually it doesn't work to insert it to the docking part.<br /><br />So, it is not returnable as of now because I bought this last September just to store it as an extra one.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61iUOm0EWGL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61iUOm0EWGL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61iUOm0EWGL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07GXFR1V7,B07GXFR1V7,AGVYEFEZFCDECY6XFVF5VSPTNWXQ,1672528146014,2,True,Not as described
40593,2.0,Not a New Item,This was reworked (poorly) the handle was tacked back on with burns and scratches. Probably a returned item.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/715MSNrGhAL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/715MSNrGhAL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/715MSNrGhAL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71Q-gCRiZhL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71Q-gCRiZhL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71Q-gCRiZhL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71ngUXmfKjL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71ngUXmfKjL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71ngUXmfKjL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07JMNYK7X,B07JMNYK7X,AFEZ7ZCDLK4XBUHUAZ3BRATWIYVQ,1677483317471,0,True,Poor performance
18359,1.0,Not accurate al all,"I make bath products, which can only be made in the most ideal humidity. If the humidity is off, my product doesn't turn out. This happened recently and I was confused as to why. I decided to change the batteries in these as I noticed that they gave me two completely different readings. I went and bought two other monitors that gave us other readings but they matched. These two had complely different readings from the others and were at times reading at 10-15% variations, and when only sitting just a few feet from one another. That is why my last batch of production of product was no good. These little things cost me some money and it's extremely frustrating.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61qI37HK9rL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61qI37HK9rL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61qI37HK9rL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B01CB3GRVY,B07KYHSPHC,AE7JOJUTDRDJ3FXW6EWBJ5ETOEQQ,1641364618924,1,False,Poor performance
24341,3.0,"3rd unit soundedGreat feel, great quality","**UPDATE**  While installingthe second we found a critically.failed part, which NEVER should have passed Quality Control. There is a hole in the side of one of the fittings. I called their tech support, which is Amazon support... They refused to expedite the delivery of a replacement. Super stupid as we have purchased several of their product.<br /><br />Previously, as we own a small motel. We've installed two of this product. Really happy with them.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81Eh16a7GML._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81Eh16a7GML._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81Eh16a7GML.jpg', 'attachment_type': 'IMAGE'}]",B07G36D547,B0BRLTHLLG,AEKME2VPAITV6GBMQR3JI2QYTQYQ,1556913830842,10,True,Broken/Defective
